prime,target
полный,УКАЗАТЬ
вторжение,ДАРИТЬ
запрешать,РЕТИТЬ
статья,ЖАЛЕТЬ
зотеть,ЗОТЕТЬ
пятеро,РОДИТЬ
мначь,МНАЧЬ
конфликт,СПОРИТЬ
робить,РЭБИТЬ
рагеть,РАГЕТЬ
дорогой,ЦЕНИТЬ
бореть,БОРЕТЬ
оказать,ОКАЗАТЬ
решетка,РЕШАТЬ
обарать,ОБАРАТЬ
река,КЛАСТЬ
цорать,ЦОРАТЬ
удивить,ВИСЕТЬ
хнуть,ХНУТЬ
ломать,КАЧАТЬ
прововать,ВАВАТЬ
машина,СТРАДАТЬ
полететь,ЛЕТЕТЬ
целый,ЦЕЛОВАТЬ
ареть,АРЕТЬ
орган,ЛЕЗТЬ
впрочем,СМОТРЕТЬ
венять,ВЕНЯТЬ
смерть,ГИБНУТЬ
димать,МИЗАТЬ
сильный,ЕХАТЬ
ромать,РОМАТЬ
наверное,РАБОТАТЬ
личать,ЛИЧАТЬ
военный,ЛЮБИТЬ
лешать,ЛЕШАТЬ
палец,СТОЯТЬ
ращать,РАЩАТЬ
простой,ЛЕЖАТЬ
бють,БЮТЬ
ящить,ЯЩИТЬ
великий,ИГРАТЬ
дужать,ДУЖАТЬ
очередь,СТАВИТЬ
жучь,ЖУТЬ
готовый,СЛУШАТЬ
рокать,РОКАТЬ
нунять,НУНЯТЬ
сердце,СПАТЬ
далеть,ДАЛЕТЬ
крупный,БЫВАТЬ
ботреть,БОТРЕТЬ
близкий,ПРОСИТЬ
мувать,МУВАТЬ
мужчина,ИСКАТЬ
страшно,РАДОВАТЬ
техеть,ТЕХЕТЬ
готовый,ХОДИТЬ
готовый,МИМЕНИТЬ
страх,БОЯТЬСЯ
московский,ПЕРОЖИТЬ
принцип,ЖЕЛАТЬ
пускать,ОСТИТЬ
познакомиться,ЗНАКОМИТЬСЯ
вкатять,МАТЯТЬ
дорогой,МЕШАТЬ
лишать,ЛАШИТЬ
процесс,ТЯНУТЬ
заключать,ЗАЧИТЬ
словно,ВЕСТИ
условие,ДЕЛИТЬСЯ
бачь,БАЧЬ
вступление,ТЕРПЕТЬ
старый,СОВЕТОВАТЬ
весна,НЕСТИ
конять,КОНЯТЬ
метод,ТЕРЯТЬ
лачить,ЛАЧИТЬ
падаль,ПАДАТЬ
присашать,ШАШАТЬ
средство,ВЕРНУТЬ
фильм,ОБЕЩАТЬ
девить,ДЕВИТЬ
задание,ТРАТИТЬ
последовать,СЛЕДОВАТЬ
сюшать,СЮШАТЬ
государь,СВЯТИТЬ
мысль,ДУМАТЬ
огромный,СТАТЬ
енять,ЕНЯТЬ
женат,МЫТЬ
подавать,ДАВАТЬ
поговорить,ГОВОРИТЬ
генать,ГЕНАТЬ
посидеть,СИДЕТЬ
шурать,ШУРАТЬ
книга,ЧИТАТЬ
асять,АСЯТЬ
позвать,ЗВАТЬ
гирать,ГИРАТЬ
вода,ПИТЬ
голять,ГОЛЯТЬ
подержать,ДЕРЖАТЬ
чикать,ЧИКАТЬ
военный,ЯВЛЯТЬСЯ
шорать,ШОРАТЬ
эмоция,ЧУВСТВОВАТЬ
бишать,БИШАТЬ
старание,ПЫТАТЬСЯ
ганять,ГАНЯТЬ
поверить,ВЕРИТЬ
отвасять,ВУСЯТЬ
кинлить,КИНЛИТЬ
зонтик,ЗВОНИТЬ
нужно,ТРЕБОВАТЬ
шадать,ШАДАТЬ
куплет,КУПИТЬ
барать,БАРАТЬ
понравиться,НРАВИТЬСЯ
пузать,ПУЗАТЬ
поменять,МЕНЯТЬ
олять,ОЛЯТЬ
попытка,СТАРАТЬСЯ
викать,ВИКАТЬ
взгляд,ГЛЯДЕТЬ
построить,СТРОИТЬ
обраривать,ОБАРИВАТЬ
помолчать,МОЛЧАТЬ
сильный,СОБРАТЬ
ниветь,НИВЕТЬ
женщина,ПЛАКАТЬ
митять,МИТЯТЬ
рядом,ХВАТИТЬ
рашать,РАШАТЬ
назад,ВЫБРАТЬ
станять,ЦАНЯТЬ
крупный,ВСТРЕЧАТЬ
машина,ЗАНЯТЬ
искусство,ВЫПИТЬ
риветь,РИВЕТЬ
рынок,ЗНАЧИТЬ
задача,СЛУЖИТЬ
рыгивать,РЫГИВАТЬ
военный,ОТДАТЬ
копачать,КОПАЧАТЬ
важный,СООБЩИТЬ
извинять,ДИНИТЬ
простой,КРИЧАТЬ
араливать,АРАЛИВАТЬ
сколько,ЗАЯВИТЬ
цареть,ЦАРЕТЬ
давно,ВЫЗВАТЬ
цорать,ЦОРАТЬ
центр,ВХОДИТЬ
обарать,ОБАРАТЬ
структура,ЗАБЫТЬ
цигачить,ЦИГАЧИТЬ
характер,УМЕТЬ
бурличать,БУРЛИЧАТЬ
питание,КОРМИТЬ
часто,УБИТЬ
далекий,ИМЕТЬ
яреть,ЯРЕТЬ
мальчик,БЕЖАТЬ
взгляд,КУРИТЬ
трировать,ТРИРОВАТЬ
бросил,БРОСИТЬ
дидарить,ДИДАРИТЬ
нос,НОСИТЬ
чобить,ЧОБИТЬ
понял,ПОНЯТЬ
ягать,ЯГАТЬ
начал,НАЧАТЬ
грыгать,ГРЫГАТЬ
писал,ПИСАТЬ
бидать,БИДАТЬ
действие,РЕРАТИТЬ
решил,РЕШИТЬ
людеть,ЛЮДЕТЬ
ловушка,ПОЙМАТЬ
лилять,ЛИЛЯТЬ
поднял,ПОДНЯТЬ
шурать,ШУРАТЬ
радиация,ИЗЛУЧАТЬ
рикать,РИКАТЬ
снимал,СНИМАТЬ
отвечать,ВЕТИТЬ
сакать,САКАТЬ
слышал,СЛЫШАТЬ
берать,БЕРАТЬ
корм,ПИТАТЬ
святой,СВЯЗАТЬ
гимать,ГИМАТЬ
помнил,ПОМНИТЬ
отмечать,МАТИТЬ
идать,ИДАТЬ
поп-арт,ПОПАСТЬ
приглашать,ПРИСИТЬ
люсять,ЛЮСЯТЬ
здание,СОЗДАТЬ
сенять,СЕНЯТЬ
нож,РЕЗАТЬ
узнал,УЗНАТЬ
викать,ВИКАТЬ
имя,НАЗВАТЬ
товарищ,ДРУЖИТЬСЯ
женять,ЖЕНЯТЬ
поступать,СТУРИТЬ
передал,ПЕРЕДАТЬ
генать,ГЕНАТЬ
совет,РЕКОМЕНДОВАТЬ
асять,АСЯТЬ
конец,СОВЕРШАТЬ
ожидал,ОЖИДАТЬ
верать,ВЕРАТЬ
вторник,СЧИТАТЬ
включать,ЛЮЧИТЬ
принял,ПРИНЯТЬ
интрига,ИНТЕРЕСОВАТЬ
шурить,ШУРИТЬ
казак,УКАЗАТЬ
подарить,ДАРИТЬ
запрешать,РЕТИТЬ
жилет,ЖАЛЕТЬ
